"character","ascension","card","cardId","eloRating","peakRating","gamesPlayed","wins","losses","winRate"
"Silent",2,"Calculated Gamble","CARD.CALCULATED_GAMBLE",1539.6,1539.6,2,2,0,100.0
"Silent",2,"Mad Science","CARD.MAD_SCIENCE",1539.6,1539.6,2,2,0,100.0
"Regent",1,"Hidden Cache","CARD.HIDDEN_CACHE",1539.6,1539.6,4,3,1,75.0
"Defect",2,"Trash To Treasure","CARD.TRASH_TO_TREASURE",1539.3,1539.3,2,2,0,100.0
"Defect",2,"Reboot","CARD.REBOOT",1539.3,1539.3,2,2,0,100.0
"Defect",2,"Overclock","CARD.OVERCLOCK",1539.3,1539.3,2,2,0,100.0
"Silent",0,"Ricochet","CARD.RICOCHET",1539.1,1539.1,4,3,1,75.0
"Silent",7,"Blur","CARD.BLUR",1538.4,1538.4,2,2,0,100.0
"Silent",7,"Deflect","CARD.DEFLECT",1538.4,1538.4,2,2,0,100.0
"Silent",7,"Acrobatics","CARD.ACROBATICS",1538.4,1538.4,2,2,0,100.0
"Regent",1,"Radiate","CARD.RADIATE",1538.0,1538.0,2,2,0,100.0
"Defect",4,"Gunk Up","CARD.GUNK_UP",1537.9,1537.9,4,3,1,75.0
"Necrobinder",3,"Sleight Of Flesh","CARD.SLEIGHT_OF_FLESH",1537.8,1537.8,2,2,0,100.0
"Defect",4,"Go For The Eyes","CARD.GO_FOR_THE_EYES",1537.2,1537.2,4,3,1,75.0
"Defect",4,"Modded","CARD.MODDED",1537.2,1537.2,2,2,0,100.0
"Defect",4,"Trash To Treasure","CARD.TRASH_TO_TREASURE",1537.1,1537.1,2,2,0,100.0
"Silent",2,"Abrasive","CARD.ABRASIVE",1536.8,1536.8,2,2,0,100.0
"Silent",2,"Expose","CARD.EXPOSE",1536.8,1536.8,2,2,0,100.0
"Silent",2,"Acrobatics","CARD.ACROBATICS",1536.8,1536.8,2,2,0,100.0
"Defect",4,"Overclock","CARD.OVERCLOCK",1536.8,1536.8,2,2,0,100.0
"Defect",4,"Darkness","CARD.DARKNESS",1536.8,1536.8,2,2,0,100.0
"Defect",4,"Hologram","CARD.HOLOGRAM",1536.8,1536.8,2,2,0,100.0
"Defect",4,"Momentum Strike","CARD.MOMENTUM_STRIKE",1536.8,1536.8,2,2,0,100.0
"Ironclad",3,"Armaments","CARD.ARMAMENTS",1536.7,1536.7,2,2,0,100.0
"Ironclad",3,"Thrash","CARD.THRASH",1536.7,1536.7,2,2,0,100.0
"Ironclad",3,"Whirlwind","CARD.WHIRLWIND",1536.7,1536.7,2,2,0,100.0
"Regent",1,"Glow","CARD.GLOW",1536.0,1536.0,4,3,1,75.0
"Silent",1,"Tools Of The Trade","CARD.TOOLS_OF_THE_TRADE",1535.9,1535.9,2,2,0,100.0
"Silent",1,"Bouncing Flask","CARD.BOUNCING_FLASK",1535.9,1535.9,2,2,0,100.0
"Defect",2,"Capacitor","CARD.CAPACITOR",1535.5,1535.5,2,2,0,100.0
"Defect",2,"Hailstorm","CARD.HAILSTORM",1535.5,1535.5,2,2,0,100.0
"Defect",3,"Thunder","CARD.THUNDER",1535.4,1535.4,2,2,0,100.0
"Regent",1,"Astral Pulse","CARD.ASTRAL_PULSE",1535.3,1535.3,4,3,1,75.0
"Regent",1,"Pillar Of Creation","CARD.PILLAR_OF_CREATION",1535.0,1535.0,2,2,0,100.0
"Silent",0,"Sneaky","CARD.SNEAKY",1535.0,1535.0,2,2,0,100.0
"Silent",0,"Finisher","CARD.FINISHER",1535.0,1535.0,2,2,0,100.0
"Silent",4,"Noxious Fumes","CARD.NOXIOUS_FUMES",1534.3,1534.3,2,2,0,100.0
"Regent",1,"Big Bang","CARD.BIG_BANG",1534.2,1534.2,2,2,0,100.0
"Necrobinder",2,"Negative Pulse","CARD.NEGATIVE_PULSE",1534.0,1534.0,4,3,1,75.0
"Necrobinder",2,"Wisp","CARD.WISP",1534.0,1534.0,4,3,1,75.0
"Silent",0,"Untouchable","CARD.UNTOUCHABLE",1534.0,1534.0,2,2,0,100.0
"Silent",0,"Knife Trap","CARD.KNIFE_TRAP",1534.0,1534.0,2,2,0,100.0
"Defect",3,"Hotfix","CARD.HOTFIX",1533.6,1533.6,4,3,1,75.0
"Silent",5,"Anticipate","CARD.ANTICIPATE",1533.4,1533.4,2,2,0,100.0
"Silent",5,"Flick Flack","CARD.FLICK_FLACK",1533.4,1533.4,2,2,0,100.0
"Defect",5,"Null","CARD.NULL",1533.4,1533.4,2,2,0,100.0
"Silent",4,"Dagger Throw","CARD.DAGGER_THROW",1533.3,1533.3,4,3,1,75.0
"Necrobinder",0,"Putrefy","CARD.PUTREFY",1533.0,1533.0,2,2,0,100.0
"Defect",3,"Barrage","CARD.BARRAGE",1532.8,1532.8,4,3,1,75.0
"Necrobinder",0,"Sleight Of Flesh","CARD.SLEIGHT_OF_FLESH",1532.5,1556.2,4,3,1,75.0
"Ironclad",0,"Hemokinesis","CARD.HEMOKINESIS",1532.4,1532.4,2,2,0,100.0
"Defect",3,"Subroutine","CARD.SUBROUTINE",1532.3,1532.3,4,3,1,75.0
"Silent",1,"Afterimage","CARD.AFTERIMAGE",1531.3,1531.3,2,2,0,100.0
"Silent",0,"Accuracy","CARD.ACCURACY",1531.2,1531.2,2,2,0,100.0
"Defect",3,"Hailstorm","CARD.HAILSTORM",1531.0,1537.0,4,3,1,75.0
"Defect",5,"Scrape","CARD.SCRAPE",1530.9,1530.9,6,4,2,66.7
"Silent",0,"Tactician","CARD.TACTICIAN",1530.8,1532.4,4,3,1,75.0
"Ironclad",0,"Demon Form","CARD.DEMON_FORM",1530.8,1530.8,2,2,0,100.0
"Ironclad",0,"Anger","CARD.ANGER",1530.1,1572.9,7,5,2,71.4
"Defect",4,"Turbo","CARD.TURBO",1529.2,1529.2,7,4,3,57.1
"Defect",4,"Claw","CARD.CLAW",1529.2,1529.2,6,4,2,66.7
"Defect",8,"Dual Wield","CARD.DUAL_WIELD",1528.2,1528.2,1,1,0,100.0
