"encounter","type","totalFought","totalSurvived","survivalRate","avgDamage","timesEndedRun","byActBreakdown"
"Shrinker Beetle (Weak)","monster",69,69,100.0,1.3,0,"Act 1: 100% (69/69)"
"Nibbits (Monster)","monster",17,17,100.0,13.8,0,"Act 1: 100% (17/17)"
"Vine Shambler (Monster)","monster",20,20,100.0,8.9,0,"Act 1: 100% (20/20)"
"Inklets (Monster)","monster",16,16,100.0,9.8,0,"Act 1: 100% (16/16)"
"Byrdonis (Elite)","elite",41,41,100.0,16.4,0,"Act 1: 100% (41/41)"
"Haunted Ship (Monster)","monster",12,12,100.0,8.4,0,"Act 1: 100% (12/12)"
"Scrolls Of Biting (Weak)","monster",42,42,100.0,4.5,0,"Act 3: 100% (42/42)"
"Slithering Strangler (Monster)","monster",25,25,100.0,11.6,0,"Act 1: 100% (25/25)"
"Punch Construct (Monster)","monster",17,17,100.0,3.5,0,"Act 1: 100% (17/17)"
"Sewer Clam (Monster)","monster",21,21,100.0,3.7,0,"Act 1: 100% (21/21)"
"Scrolls Of Biting (Monster)","monster",9,9,100.0,4.6,0,"Act 3: 100% (9/9)"
"Mytes (Monster)","monster",20,20,100.0,12.8,0,"Act 2: 100% (20/20)"
"Axebots (Monster)","monster",8,8,100.0,6.9,0,"Act 3: 100% (8/8)"
"Frog Knight (Monster)","monster",6,6,100.0,6.8,0,"Act 3: 100% (6/6)"
"Seapunk (Monster)","monster",8,8,100.0,14.9,0,"Act 1: 100% (8/8)"
